Name	Age	Salary
Person_1	27	57367
Person_2	44	22709
Person_3	58	38984
Person_4	25	53580
Person_5	49	80104
Person_6	49	38581
Person_7	58	90930
Person_8	48	42435
Person_9	25	44971
Person_10	57	95241
Person_11	54	69536
Person_12	25	35109
Person_13	37	31217
Person_14	39	60215
Person_15	51	35990
Person_16	26	87689
Person_17	50	41848
Person_18	51	43721
Person_19	43	87091
Person_20	49	84360
Person_21	52	71321
Person_22	49	43397
Person_23	49	60031
Person_24	38	49594
Person_25	51	24330
Person_26	21	25604
Person_27	28	83521
Person_28	47	98541
Person_29	53	51728
Person_30	29	41791
Person_31	35	30425
Person_32	55	44470
Person_33	38	72038
Person_34	21	39834
Person_35	33	55173
Person_36	35	50802
Person_37	38	45507
Person_38	34	25954
Person_39	46	78442
Person_40	49	23095
Person_41	53	63331
Person_42	45	92535
Person_43	39	76587
Person_44	43	53740
Person_45	29	85168
Person_46	37	28843
Person_47	41	83163
Person_48	44	50287
Person_49	39	64417
Person_50	24	47907
Person_51	22	55246
Person_52	45	53913
Person_53	56	88750
Person_54	24	44563
Person_55	18	61273
Person_56	37	66966
Person_57	60	70463
Person_58	27	24761
Person_59	39	38413
Person_60	19	91839
Person_61	23	73597
Person_62	27	34539
Person_63	58	77803
Person_64	38	82688
Person_65	40	26610
Person_66	29	90766
Person_67	54	46804
Person_68	40	43402
Person_69	19	36172
Person_70	26	78292
Person_71	31	41521
Person_72	39	37399
Person_73	35	94783
Person_74	35	39583
Person_75	40	75875
Person_76	51	27031
Person_77	35	87834
Person_78	21	45891
Person_79	28	53805
Person_80	54	21161
Person_81	44	42329
Person_82	39	60731
Person_83	37	71360
Person_84	27	32908
Person_85	46	88554
Person_86	52	82677
Person_87	33	62309
Person_88	18	68705
Person_89	35	94004
Person_90	35	37695
Person_91	56	44290
Person_92	32	89892
Person_93	48	98981
Person_94	52	34288
Person_95	48	92662
Person_96	40	84911
Person_97	23	75984
Person_98	19	78886
Person_99	35	98008
